Date,US_Open,US_High,US_Low,US_Close,US_Volume,UK_Open,UK_High,UK_Low,UK_Close,UK_Volume,China_Open,China_High,China_Low,China_Close,China_Volume,Thai_Open,Thai_High,Thai_Low,Thai_Close,Thai_Volume,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,US_SMA200,UK_SMA200,China_SMA200
2023-03-20,3917.469970703125,3956.6201171875,3916.889892578125,3951.570068359375,5347140000,7335.39990234375,7426.2001953125,7206.7998046875,7403.89990234375,1084762200,3253.929931640625,3267.989990234375,3231.64990234375,3234.909912109375,392500,1560.22998046875,1569.760009765625,1543.469970703125,1555.449951171875,4771600,28041.6015625,28527.724609375,27242.880859375,27767.236328125,44774027664,3956.8070178222656,7431.185021972657,3180.4032824707033
2023-03-21,3975.889892578125,4009.080078125,3971.18994140625,4002.8701171875,4920240000,7403.89990234375,7557.60009765625,7403.89990234375,7536.2001953125,801743800,3240.840087890625,3256.0,3237.889892578125,3255.64990234375,301800,1564.3199462890625,1579.68994140625,1561.6500244140625,1577.1800537109375,4460600,27768.392578125,28439.5625,27439.646484375,28175.81640625,36102192830,3954.5241174316407,7430.7200219726565,3180.9262817382814
2023-03-22,4002.0400390625,4039.489990234375,3936.169921875,3936.969970703125,4533010000,7536.2001953125,7585.60009765625,7505.5,7566.7998046875,892439300,3263.409912109375,3279.389892578125,3255.739990234375,3265.75,290800,1584.8399658203125,1588.1700439453125,1579.25,1585.0799560546875,4362000,28158.720703125,28803.3359375,26759.99609375,27307.4375,33382021890,3952.240666503906,7430.414020996093,3181.8559814453124
2023-03-23,3959.2099609375,4007.659912109375,3919.050048828125,3948.719970703125,4991600000,7566.7998046875,7566.7998046875,7476.10009765625,7499.60009765625,1227843700,3258.780029296875,3286.64990234375,3252.989990234375,3286.64990234375,306100,1582.260009765625,1598.5899658203125,1577.699951171875,1593.6500244140625,4282400,27301.95703125,28729.84375,27183.36328125,28333.97265625,24220433689,3950.625367431641,7430.303520507812,3182.8546313476563
2023-03-24,3939.2099609375,3972.739990234375,3909.159912109375,3970.989990234375,4583970000,7499.60009765625,7499.60009765625,7335.7001953125,7405.5,862536800,3282.739990234375,3282.739990234375,3260.840087890625,3265.64990234375,324500,1596.93994140625,1599.780029296875,1588.25,1591.8499755859375,3332500,28324.111328125,28388.4375,27039.265625,27493.28515625,25980310960,3948.999716796875,7430.428520507812,3184.540330810547
2023-03-27,3982.929931640625,4003.830078125,3970.489990234375,3977.530029296875,4233540000,7405.5,7491.7001953125,7405.5,7471.7998046875,703755400,3261.820068359375,3261.820068359375,3229.699951171875,3251.39990234375,337900,1595.1199951171875,1595.8599853515625,1586.010009765625,1593.3699951171875,2677800,27994.068359375,28037.92578125,26606.689453125,27139.888671875,18188895178,3948.011365966797,7430.856518554688,3186.3651806640623
2023-03-28,3974.1298828125,3979.199951171875,3951.530029296875,3971.27001953125,4014600000,7471.7998046875,7524.60009765625,7464.60009765625,7484.2998046875,1159788800,3256.60009765625,3264.10009765625,3241.739990234375,3245.3798828125,295700,1600.8199462890625,1607.75,1599.9200439453125,1606.9100341796875,3876200,27132.888671875,27460.71875,26677.818359375,27268.130859375,17783600385,3946.9479162597654,7431.1500170898435,3187.800679931641
2023-03-29,3999.530029296875,4030.590087890625,3999.530029296875,4027.81005859375,4145250000,7484.2998046875,7566.7998046875,7484.2001953125,7564.2998046875,637649500,3253.6201171875,3254.56005859375,3229.580078125,3240.06005859375,296900,1611.75,1615.2900390625,1602.4300537109375,1610.52001953125,3403600,27267.03125,28619.54296875,27259.662109375,28348.44140625,20684945906,3945.6494665527343,7431.425515136719,3189.1235803222658
2023-03-30,4046.739990234375,4057.85009765625,4032.10009765625,4050.830078125,3930860000,7564.2998046875,7638.5,7564.2998046875,7620.39990234375,792010000,3243.070068359375,3263.739990234375,3220.97998046875,3261.25,299900,1611.6400146484375,1613.1600341796875,1601.030029296875,1605.4200439453125,3823100,28350.140625,29159.90234375,27720.16015625,28033.5625,22435349951,3945.243966064453,7431.804514160156,3190.194530029297
2023-03-31,4056.179931640625,4110.75,4056.179931640625,4109.31005859375,4525120000,7620.39990234375,7654.39990234375,7616.10009765625,7631.7001953125,816288100,3263.409912109375,3278.419921875,3260.0400390625,3272.860107421875,283600,1607.0,1614.0899658203125,1605.550048828125,1609.1700439453125,3061500,28032.26171875,28639.896484375,27583.71484375,28478.484375,19001327598,3945.0561657714843,7432.446516113281,3191.220030517578
2023-04-03,4102.2001953125,4127.66015625,4098.7900390625,4124.509765625,4234700000,7631.7001953125,7698.2001953125,7631.7001953125,7673.0,921588900,3277.340087890625,3299.72998046875,3276.419921875,3296.39990234375,357700,1610.8399658203125,1613.97998046875,1593.9599609375,1600.3699951171875,3172600,28183.080078125,28475.623046875,27276.720703125,27790.220703125,19556501327,3945.0620153808595,7433.872016601563,3192.694229736328
2023-04-04,4128.02978515625,4133.1298828125,4086.8701171875,4100.60009765625,4227800000,7673.0,7726.89990234375,7634.5,7634.5,791013200,3297.179931640625,3312.56005859375,3290.989990234375,3312.56005859375,385900,1601.8900146484375,1603.7900390625,1591.199951171875,1594.050048828125,3328600,27795.2734375,28433.7421875,27681.3046875,28168.08984375,15284538859,3945.608815917969,7435.9615161132815,3194.236330566406
2023-04-11,4110.2900390625,4124.259765625,4102.60986328125,4108.93994140625,3665830000,7741.60009765625,7806.39990234375,7741.60009765625,7785.7001953125,999467200,3317.080078125,3317.449951171875,3298.25,3313.570068359375,320600,1595.77001953125,1598.030029296875,1590.280029296875,1597.0999755859375,3300000,29653.6796875,30509.083984375,29609.30078125,30235.05859375,20121259843,3946.1482653808594,7438.674016113281,3195.62498046875
2023-04-12,4121.72021484375,4134.3701171875,4086.93994140625,4091.949951171875,3633120000,7785.7001953125,7859.7001953125,7783.39990234375,7824.7998046875,797796300,3316.860107421875,3330.7099609375,3315.39990234375,3327.179931640625,343000,1597.5899658203125,1598.27001953125,1580.7099609375,1592.6700439453125,2716800,30231.58203125,30462.48046875,29725.57421875,30139.052734375,18651929926,3946.9321154785157,7441.059514160156,3196.967380371094
2023-04-17,4137.169921875,4151.72021484375,4123.18017578125,4151.31982421875,3611180000,7871.89990234375,7916.7001953125,7871.89990234375,7879.5,665446000,3337.06005859375,3385.610107421875,3336.389892578125,3385.610107421875,402800,1593.0899658203125,1604.2099609375,1587.8699951171875,1600.4100341796875,3339600,30317.146484375,30319.197265625,29275.37109375,29445.044921875,17872186762,3948.0383142089845,7444.290515136719,3198.6204809570313
2023-04-18,4164.259765625,4169.47998046875,4140.35986328125,4154.8701171875,3536640000,7879.5,7912.7001953125,7879.5,7909.39990234375,531338200,3379.22998046875,3396.169921875,3375.780029296875,3393.330078125,348400,1600.1600341796875,1601.31005859375,1589.5799560546875,1593.8499755859375,3410100,29449.091796875,30470.302734375,29154.849609375,30397.552734375,19480529496,3948.6932153320313,7446.746513671875,3200.165731201172
2023-04-19,4139.330078125,4162.56982421875,4134.490234375,4154.52001953125,3572560000,7909.39990234375,7909.39990234375,7871.39990234375,7898.7998046875,506763800,3391.35009765625,3394.9599609375,3364.639892578125,3370.1298828125,346100,1588.9000244140625,1595.0799560546875,1579.22998046875,1580.72998046875,3403800,30394.1875,30411.0546875,28669.8984375,28822.6796875,24571565421,3949.0215649414063,7448.648513183593,3201.547880859375
2023-04-20,4130.47998046875,4148.56982421875,4114.56982421875,4129.7900390625,3772080000,7898.7998046875,7903.0,7876.39990234375,7902.60009765625,918927800,3367.050048828125,3371.3701171875,3344.02001953125,3367.030029296875,350400,1579.97998046875,1582.300048828125,1562.1099853515625,1565.0999755859375,3675900,28823.68359375,29076.400390625,28037.2578125,28245.98828125,21340360360,3950.0521154785156,7450.971013183594,3202.9531311035157
2023-04-21,4132.14013671875,4138.02001953125,4113.85986328125,4133.52001953125,3611750000,7902.60009765625,7936.10009765625,7886.5,7914.10009765625,631165500,3364.0,3367.610107421875,3301.260009765625,3301.260009765625,387400,1563.9100341796875,1572.4300537109375,1549.6400146484375,1558.3599853515625,4137500,28249.23046875,28349.96875,27177.365234375,27276.91015625,20759504330,3951.2157653808595,7454.028012695312,3203.974631347656
2023-04-24,4132.06982421875,4142.41015625,4117.77001953125,4137.0400390625,3290940000,7914.10009765625,7927.10009765625,7877.60009765625,7912.2001953125,724845900,3300.81005859375,3303.090087890625,3264.929931640625,3275.409912109375,354300,1555.760009765625,1561.550048828125,1553.1500244140625,1557.8699951171875,2498700,27591.73046875,27979.982421875,27070.849609375,27525.33984375,17703288330,3952.3941650390625,7456.639013671875,3204.6188305664064
2023-04-25,4126.43017578125,4126.43017578125,4071.3798828125,4071.6298828125,3978640000,7912.2001953125,7912.5,7863.89990234375,7891.10009765625,657900800,3276.39990234375,3288.570068359375,3229.449951171875,3264.8701171875,380900,1557.800048828125,1559.8599853515625,1538.31005859375,1540.199951171875,3847000,27514.873046875,28371.078125,27207.931640625,28307.59765625,17733373139,3952.883564453125,7458.527514648437,3205.208880615234
2023-04-26,4087.780029296875,4089.669921875,4049.35009765625,4055.989990234375,3837030000,7891.10009765625,7894.0,7825.89990234375,7852.60009765625,902747300,3255.219970703125,3277.97998046875,3239.989990234375,3264.10009765625,357900,1543.2900390625,1549.81005859375,1532.0799560546875,1543.949951171875,3500800,28300.05859375,29995.837890625,27324.548828125,28422.701171875,31854242019,3953.456114501953,7460.368515625,3206.1747314453123
2023-04-27,4075.2900390625,4138.240234375,4075.2900390625,4135.35009765625,3750550000,7852.60009765625,7865.7001953125,7816.7998046875,7831.60009765625,669734300,3256.22998046875,3299.300048828125,3253.110107421875,3285.8798828125,341600,1539.280029296875,1540.239990234375,1525.9300537109375,1531.22998046875,2716700,28428.46484375,29871.546875,28402.88671875,29473.787109375,27153445027,3954.2392150878904,7461.912517089844,3207.0668310546876
