Market,Method,uptrend_days,downtrend_days,uptrend_pct,avg_uptrend_ret,avg_downtrend_ret,separation,uptrend_accuracy,downtrend_accuracy,strategy_return,buyhold_return,excess_return
US,GMM_Enhanced,9848,14792,39.96753246753247,0.03478152782131483,0.02906030475936917,0.005721223061945659,53.70633631194151,47.147106544077886,2358.699316587921,38933.21911794913,-36574.5198013612
US,ADX_Supertrend,5889,18751,23.900162337662337,0.02513993762860612,0.03329632666471312,-0.008156389036107003,52.77636271013755,46.36552717188417,238.63986343346104,38933.21911794913,-38694.579254515666
US,HMM,19714,4926,80.00811688311688,0.05422459088972393,-0.060210123998197335,0.11443471488792127,53.692807142132494,51.563134388956556,2531485.921095027,38933.21911794913,2492552.701977078
US,HMM_Enhanced,10980,13660,44.561688311688314,0.03302750701084984,0.029996082504082432,0.0030314245067674037,53.71584699453552,47.37188872620791,2927.207929927424,38933.21911794913,-36006.0111880217
US,RandomForest,11513,13127,46.72483766233766,0.006223571948470852,0.05338131561987905,-0.0471577436714082,52.08025710066882,45.25786546811915,7.846583881194413,38933.21911794913,-38925.37253406793
BTC,SMA200,2514,1647,60.41816870944484,0.2730676545353332,0.05175007897608811,0.22131757555924508,53.739061256961016,49.241044323011536,20249.069649250207,16601.889452511354,3647.180196738853
BTC,GMM,3168,993,76.1355443403028,0.18003822280395648,0.20278285370847002,-0.02274463090451355,52.746212121212125,48.036253776435046,6755.132634242343,16601.889452511354,-9846.75681826901
BTC,GMM_Enhanced,1253,2908,30.112953616919008,0.49390936172047817,0.05256397295037335,0.44134538877010476,56.58419792498005,49.174690508940856,22935.286963010672,16601.889452511354,6333.397510499319
BTC,ADX_Supertrend,1364,2797,32.780581590963706,0.34232282474115727,0.10897251720718854,0.23335030753396874,54.618768328445746,48.44476224526278,4542.073924613613,16601.889452511354,-12059.81552789774
BTC,HMM,2880,1281,69.2141312184571,0.14763437873548452,0.27052104045062403,-0.1228866617151395,52.56944444444444,47.46291959406714,3004.85783520638,16601.889452511354,-13597.031617304972
BTC,HMM_Enhanced,1251,2910,30.0648882480173,0.24634051247627145,0.15929638572770763,0.08704412674856382,54.99600319744204,48.487972508591064,1462.422840844105,16601.889452511354,-15139.466611667249
BTC,RandomForest,2284,1877,54.89065128574862,0.06981392103305677,0.3261957740734913,-0.2563818530404346,52.057793345008754,46.830047948854556,15.906355757871516,16601.889452511354,-16585.98309675348
