Market,Method,uptrend_days,downtrend_days,uptrend_pct,avg_uptrend_ret,avg_downtrend_ret,separation,uptrend_accuracy,downtrend_accuracy,strategy_return,buyhold_return,excess_return,max_dd,sharpe
Gold,HMM,5549,890,86.17797794688616,0.06445776161352951,-0.04041451735465878,0.10487227896818828,53.342944674716165,51.01123595505618,2737.4638122734227,1563.6364015179079,1173.8274107555148,-32.88564985604815,1.042512423440239
Gold,HMM_Enhanced,2489,3950,38.655070663146454,0.07400531037090906,0.034812147148009176,0.039193163222899875,53.8770590598634,47.139240506329116,451.77415679738783,1563.6364015179079,-1111.86224472052,-18.875002498120896,0.7048783001777637
Gold,RandomForest,4809,1630,74.68551017238701,0.10494786630456691,-0.11226201859560328,0.2172098849001702,54.917862341443126,53.128834355828225,11297.084269198129,1563.6364015179079,9733.447867680221,-29.734846906222746,1.2688724184996616
US,SMA200,16628,8070,67.32528949712527,0.04282648109120911,0.008020948845087627,0.034805532246121484,53.73466442145778,48.62453531598513,60047.77390321785,40610.13527032443,19437.638632893424,-51.58552404019632,0.5996862862062516
US,GMM,20879,3819,84.53720949064702,0.029298623205086187,0.04323692874194495,-0.013938305536858762,52.83299008573208,48.31107619795758,20618.666089043392,40610.13527032443,-19991.469181281034,-63.89919129083267,0.49462166553851206
US,GMM_Enhanced,9852,14846,39.88986962507086,0.034741724411765394,0.02927201373162936,0.005469710680136038,53.71498172959805,47.15074767614173,2352.736784352722,40610.13527032443,-38257.39848597171,-25.150535412670074,0.5187596030450365
US,ADX_Supertrend,5903,18795,23.900720706130052,0.02595326602148315,0.0331814661047974,-0.0072282000833142485,52.80365915636117,46.37403564777867,256.4130751199892,40610.13527032443,-40353.722195204435,-41.17221207548724,0.21457347155485973
US,HMM,19792,4906,80.13604340432424,0.05389081177002908,-0.05906220175049598,0.11295301352052506,53.673201293451896,51.50835711373828,2463391.6877799295,40610.13527032443,2422781.552509605,-35.23030780558513,1.0257336770530292
US,HMM_Enhanced,10280,14418,41.62280346586768,0.030720165386452437,0.03197700683810176,-0.0012568414516493198,53.628404669260696,47.19794701068109,1833.1556559083647,40610.13527032443,-38776.979614416065,-26.91533995865416,0.5099261235603959
US,RandomForest,23322,1376,94.42869868005506,0.044326977570863305,-0.18673400155755218,0.2310609791284155,52.90712631849755,54.94186046511628,598988.1878144008,40610.13527032443,558378.0525440763,-83.02469104006059,0.5770947962732546
BTC,SMA200,2514,1730,59.236569274269556,0.2730676545353332,0.05611258940045108,0.21695506513488214,53.739061256961016,49.30635838150289,20249.069649250207,18306.208663328125,1942.8609859220815,-69.91239618642584,0.9496190970969182
BTC,GMM,3225,1019,75.98963242224318,0.180901523897104,0.1964273293390066,-0.015525805441902584,52.8062015503876,48.47890088321884,7690.1907601949415,18306.208663328125,-10616.017903133183,-64.82678021590975,0.8325665015391991
BTC,GMM_Enhanced,1228,3016,28.934967012252592,0.4939209691053696,0.05869758392016389,0.4352233851852057,56.35179153094463,49.07161803713528,20579.776075549715,18306.208663328125,2273.5674122215923,-29.245792215676413,1.2178023781187763
BTC,ADX_Supertrend,1381,2863,32.540056550424126,0.33405240117941354,0.11255343944667762,0.2214989617327359,54.52570601013759,48.48061473978345,4271.695133920329,18306.208663328125,-14034.513529407795,-50.09341657605173,0.8662292417475977
BTC,HMM,2976,1268,70.12252591894439,0.14471003716383102,0.27832002568221376,-0.1336099885183827,52.52016129032258,47.55520504731861,3090.8467249453233,18306.208663328125,-15215.3619383828,-61.98933948961067,0.8098422986584601
BTC,HMM_Enhanced,1293,2951,30.466540999057496,0.2546707876940011,0.15394020151686366,0.10073058617713741,55.22041763341067,48.69535750593019,1809.2255477008357,18306.208663328125,-16496.98311562729,-38.39586182515714,0.9667204253038527
BTC,RandomForest,2931,1313,69.062205466541,0.46108188059294863,-0.4324936244122805,0.8935755050052292,55.57830092118731,54.37928408225437,12570967.01068403,18306.208663328125,12552660.802020703,-50.73174250643444,1.7596730731055792
