Market,Regime,Trend,Model,Strategy Return (%),B&H Return (%),Max DD (%),Final $,Long (%),Short (%),Turnover,Tie Warning
UK,,Downtrend,SVM,14.84,14.84,-7.61,11483.8,,,,
UK,SMA200,Overall,XGBoost,14.11,14.2,-10.12,11410.7,81.2,0.0,1.0,
UK,,Uptrend,XGBoost,-0.54,-0.55,-12.31,9946.29,,,,
UK,,Downtrend,XGBoost,14.84,14.84,-7.61,11483.8,,,,
UK,GMM,Overall,LSTM,5.48,14.2,-11.29,10547.99,8.8,88.1,19.0,
UK,,Uptrend,LSTM,13.29,18.2,-9.99,11328.84,,,,
UK,,Downtrend,LSTM,-3.38,-3.38,-4.04,9662.04,,,,
UK,GMM,Overall,CNN,8.72,14.2,-10.12,10871.92,83.3,0.0,1.0,
UK,,Uptrend,CNN,12.63,18.2,-9.7,11263.46,,,,
UK,,Downtrend,CNN,-3.38,-3.38,-4.04,9662.04,,,,
UK,GMM,Overall,MLP,8.72,14.2,-10.12,10871.92,83.3,0.0,1.0,
UK,,Uptrend,MLP,12.63,18.2,-9.7,11263.46,,,,
UK,,Downtrend,MLP,-3.38,-3.38,-4.04,9662.04,,,,
UK,GMM,Overall,Transformer,8.72,14.2,-10.12,10871.92,83.3,0.0,1.0,
UK,,Uptrend,Transformer,12.63,18.2,-9.7,11263.46,,,,
UK,,Downtrend,Transformer,-3.38,-3.38,-4.04,9662.04,,,,
UK,GMM,Overall,RandomForest,14.09,14.2,-11.86,11408.65,100.0,0.0,1.0,
UK,,Uptrend,RandomForest,18.2,18.2,-10.07,11819.52,,,,
UK,,Downtrend,RandomForest,-3.38,-3.38,-4.04,9662.04,,,,
UK,GMM,Overall,SVM,14.09,14.2,-11.86,11408.65,100.0,0.0,1.0,
UK,,Uptrend,SVM,18.2,18.2,-10.07,11819.52,,,,
UK,,Downtrend,SVM,-3.38,-3.38,-4.04,9662.04,,,,
UK,GMM,Overall,XGBoost,8.72,14.2,-10.12,10871.92,83.3,0.0,1.0,
UK,,Uptrend,XGBoost,12.63,18.2,-9.7,11263.46,,,,
UK,,Downtrend,XGBoost,-3.38,-3.38,-4.04,9662.04,,,,
UK,ADX,Overall,LSTM,7.06,14.2,-11.08,10706.02,89.5,10.5,17.0,
UK,,Uptrend,LSTM,3.34,6.65,-5.62,10334.26,,,,
UK,,Downtrend,LSTM,7.08,7.08,-10.99,10707.66,,,,
UK,ADX,Overall,CNN,14.09,14.2,-11.86,11408.65,100.0,0.0,1.0,
UK,,Uptrend,CNN,6.65,6.65,-3.42,10665.33,,,,
UK,,Downtrend,CNN,7.08,7.08,-10.99,10707.66,,,,
UK,ADX,Overall,MLP,5.72,14.2,-13.7,10571.96,85.7,14.3,21.0,
UK,,Uptrend,MLP,7.61,6.65,-4.31,10760.91,,,,
UK,,Downtrend,MLP,2.36,7.08,-13.47,10236.0,,,,
UK,ADX,Overall,Transformer,14.09,14.2,-11.86,11408.65,100.0,0.0,1.0,
UK,,Uptrend,Transformer,6.65,6.65,-3.42,10665.33,,,,
UK,,Downtrend,Transformer,7.08,7.08,-10.99,10707.66,,,,
